"",,13.01.2014,27.02.2014,18.03.2014,14.04.2014,22.05.2014,17.06.2014
MERITVE NA TERENU,,,,,,,
Temperatura zraka,0C,6,8,18,17,20,18
Temperatura vode,0C,"5,2","6,8",10,"11,7","14,6",17
pH,-,"8,4","8,1","8,2",8,"7,9",8
Elektrièna prevodnost (25 0C),?S/cm,303,299,324,253,246,192
Kisik sonda,mg O2/l,"8,7","10,5","9,4","9,6","9,8","9,5"
Nasièenost s kisikom - sonda,%,72,91,86,92,100,100
OSNOVNI PARAMETRI,,,,,,,
Suspendirane snovi po sušenju,mg/l,,,,,,
KPK s KMnO4,mg O2/l,,,,,,
KPK s K2Cr2O7,mg O2/l,,,,,,
BPK5,mg O2/l,,,,,,
TOC,mg C/l,"1,1","1,8","1,4","1,2","1,3",1
DOC,mg C/l,1,"1,6","1,2","1,1",1,"0,8"
Skupni dušik TN,mg N/l,,,,,,
Amoniak (prosti),mg NH3/l,,,,,,
Amonij,mg NH4/l,,,,,,
Nitriti,mg NO2/l,,,,,,
Nitrati,mg NO3/l,,,,,,
Sulfati,mg/l,,,,,,
Kloridi,mg/l,,,,,,
Fluoridi,?g/l,,,,,,
Celotni fosfor - nefiltriran,mg PO4/l,,,,,,
Ortofosfati,mg PO4/l,,,,,,
Kalcij,mg/l,50,41,49,40,36,32
Magnezij,mg/l,11,"8,8",11,"7,5","7,6",6
Natrij,mg/l,"4,4","5,6","5,6","3,6","3,8","2,4"
Kalij,mg/l,"1,3","1,3","1,6","1,2","1,3","1,2"
Hidrogenkarbonati,mg HCO3/l,,,,,,
Formaldehid,?g/l,,,,,,
Dušik-Kjeldahl,mg N/l,,,,,,
Skupna trdota,0NT,"9,5","7,8","9,4","7,3","6,8","5,9"
Karbonatna trdota,0NT,"7,3","7,3",7,"6,2","5,9","4,2"
m-Alkaliteta,m-eqv/l,"2,6","2,6","2,5","2,2","2,1","1,5"
"",,13.01.2014,27.02.2014,18.03.2014,14.04.2014,22.05.2014,17.06.2014
"1,2,3,4,6,7,8-H7CDF-org. (mokra teža)",?g/kg,,,,,,
"1,2,3,4,7,8,9-H7CDF-org. (mokra teža)",?g/kg,,,,,,
"1,2,3,4,6,7,8,9-O8CDF-org. (mokra teža)",?g/kg,,,,,,
"3,3 ?,4,4 ?-T4CB (PCB 77)-org. (mokra teža)",?g/kg,,,,,,
"3,3 ?,4 ?,5-T4CB (PCB 81)-org. (mokra teža)",?g/kg,,,,,,
"2,3,3 ?,4,4 ?-P5CB (PCB 105)-org. (mokra teža)",?g/kg,,,,,,
"2,3,4,4 ?,5-P5CB (PCB 114)-org. (mokra teža)",?g/kg,,,,,,
"2,3 ?,4,4 ?,5-P5CB (PCB 118)-org. (mokra teža)",?g/kg,,,,,,
"2,3 ?,4,4 ?,5 ?-P5CB (PCB 123)-org. (mokra teža)",?g/kg,,,,,,
"3,3 ?,4,4 ?,5-P5CB (PCB 126)-org. (mokra teža)",?g/kg,,,,,,
"2,3,3 ?,4,4 ?,5-H6CB (PCB 156)-org. (mokra teža)",?g/kg,,,,,,
"2,3,3 ?,4,4 ?,5 ?-H6CB (PCB 157)-org. (mokra teža)",?g/kg,,,,,,
"2,3 ?,4,4 ?,5,5 ?-H6CB (PCB 167)-org. (mokra teža)",?g/kg,,,,,,
"3,3 ?,4,4 ?,5,5 ?-H6CB (PCB 169)-org. (mokra teža)",?g/kg,,,,,,
"2,3,3 ?,4,4 ?,5,5 ?-H7CB (PCB 189)-org. (mokra teža)",?g/kg,,,,,,
PCB-28-org. (mokra teža),?g/kg,,,,,,
PCB-52-org. (mokra teža),?g/kg,,,,,,
PCB-101-org. (mokra teža),?g/kg,,,,,,
PCB-138-org. (mokra teža),?g/kg,,,,,,
PCB-153-org. (mokra teža),?g/kg,,,,,,
PCB-180-org. (mokra teža),?g/kg,,,,,,
MIKROELEMENTI,,,,,,,
Mangan-filt.,?g/l,"7,8","8,6",11,"8,6","8,2","7,6"
Železo - filt.,?g/l,<100,<100,<100,<100,<100,<100
Bor-filt.,?g/l,13,10,<10,10,<10,<10
Aluminij-filt.,?g/l,22,15,14,16,23,28
Antimon-filt.,?g/l,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5
Arzen-filt.,?g/l,"1,4",<1,"1,1","1,1","1,4","1,4"
Baker-filt.,?g/l,"1,2","1,3","2,9","1,1","1,5","3,4"
Baker-sed.,mg/kg,,,,,,
Baker-org. (mokra teža),?g/kg,,,,,,
Barij-filt.,?g/l,29,24,25,20,21,18
Berilij-filt.,?g/l,<1,<1,<1,<1,<1,<1
Cink-filt.,?g/l,13,10,13,<10,<10,<10
Cink-sed.,mg/kg,,,,,,
Cink-org. (mokra teža),?g/kg,,,,,,
Kadmij-filt.,?g/l,"0,029","0,039","0,025","0,014","0,032","0,021"
Kadmij-sed.,mg/kg,,,,,,
Kadmij-org. (mokra teža),?g/kg,,,,,,
Kobalt-filt.,?g/l,"0,098","0,086","0,083","0,087","0,08","0,08"
Kositer-filt.,?g/l,<1,<1,<1,<1,<1,<1
Krom-filt.,?g/l,<1,<1,<1,<1,<1,<1
Krom-sed.,mg/kg,,,,,,
Krom-org. (mokra teža),?g/kg,,,,,,
Molibden-filt.,?g/l,"2,2","1,5","1,9","1,6","1,4","1,5"
Nikelj-filt.,?g/l,<1,<1,<1,<1,<1,<1
Nikelj-sed.,mg/kg,,,,,,
Nikelj-org. (mokra teža),?g/kg,,,,,,
Selen-filt.,?g/l,<1,<1,<1,<1,<1,<1
Srebro-filt.,?g/l,"1,9",<1,<1,<1,<1,<1
Svinec-filt.,?g/l,<1,<1,<1,<1,<1,<1
Svinec-sed.,mg/kg,,,,,,
Svinec-org. (mokra teža),?g/kg,,,,,,
